termination_id,employee_id,termination_date,voluntary,reason,exit_survey_score
170,201,2025-04-24,True,Relocation,7.2
171,598,2025-05-12,True,Career Change,7.0
172,140,2025-05-31,True,Relocation,7.5
173,575,2025-05-31,True,Relocation,8.9
174,538,2025-05-28,True,Career Change,2.3
175,909,2025-05-09,False,Performance,8.6
176,540,2025-05-09,True,Relocation,
177,747,2025-05-26,False,Role Eliminated,3.1
178,883,2025-05-25,False,Role Eliminated,2.4
179,267,2025-06-02,False,Performance,
180,791,2025-06-01,False,Performance,7.8
181,657,2025-06-21,True,Better Opportunity,2.0
182,163,2025-06-21,True,Better Opportunity,
183,521,2025-06-28,True,Relocation,
184,251,2025-06-10,False,Role Eliminated,9.4
185,690,2025-06-30,False,Performance,2.5
186,404,2025-06-24,True,Return to Study,
187,176,2025-06-15,False,Performance,
188,893,2025-06-18,True,Relocation,6.0
189,271,2025-06-29,True,Career Change,6.7
190,849,2025-07-04,True,Career Change,4.9
191,932,2025-07-23,False,Restructuring,8.7
192,194,2025-07-28,True,Return to Study,
193,390,2025-07-29,False,Role Eliminated,
194,544,2025-07-09,True,Relocation,8.7
195,876,2025-07-28,True,Career Change,4.4
196,559,2025-07-04,True,Better Opportunity,
197,692,2025-07-07,True,Career Change,
198,55,2025-07-17,True,Career Change,
199,403,2025-07-27,True,Return to Study,4.6
200,744,2025-07-30,True,Relocation,6.6
201,622,2025-08-07,True,Relocation,8.2
202,478,2025-08-18,False,Restructuring,7.0
203,18,2025-08-10,True,Return to Study,3.9
204,656,2025-08-30,True,Relocation,
205,48,2025-08-31,False,Performance,
206,784,2025-08-20,True,Career Change,
207,563,2025-08-29,True,Return to Study,
208,694,2025-08-27,True,Return to Study,8.3
209,976,2025-08-03,True,Relocation,3.7
210,556,2025-08-14,True,Relocation,
211,962,2025-08-02,True,Career Change,
212,517,2025-09-15,True,Better Opportunity,
213,827,2025-09-18,True,Career Change,7.9
214,816,2025-09-30,True,Return to Study,6.2
215,269,2025-09-11,True,Return to Study,4.1
216,628,2025-09-21,True,Relocation,4.1
217,646,2025-09-15,True,Better Opportunity,
218,842,2025-09-03,False,Role Eliminated,
219,664,2025-09-11,True,Relocation,3.4
220,813,2025-09-02,True,Better Opportunity,
221,454,2025-10-07,True,Better Opportunity,
222,1012,2025-10-19,True,Relocation,6.7
223,11,2025-10-21,True,Better Opportunity,
224,226,2025-10-27,True,Career Change,
225,868,2025-10-27,True,Return to Study,6.5
226,62,2025-10-19,False,Performance,6.5
227,618,2025-10-13,True,Career Change,9.1
228,963,2025-10-08,True,Better Opportunity,5.9
229,398,2025-10-28,True,Return to Study,
230,954,2025-11-23,True,Better Opportunity,2.2
231,442,2025-11-05,True,Relocation,5.7
232,324,2025-11-05,False,Restructuring,7.5
233,421,2025-11-16,True,Return to Study,5.0
234,629,2025-11-15,False,Performance,5.4
235,756,2025-11-29,True,Better Opportunity,6.1
236,67,2025-11-02,True,Better Opportunity,3.9
237,859,2025-11-26,False,Role Eliminated,
238,980,2025-11-04,True,Return to Study,4.6
239,799,2025-12-11,True,Return to Study,3.4
240,263,2025-12-11,True,Return to Study,8.3
241,887,2025-12-23,True,Return to Study,
242,340,2025-12-22,False,Restructuring,6.7
243,571,2025-12-02,True,Relocation,
244,902,2025-12-08,True,Better Opportunity,7.1
245,31,2025-12-29,True,Better Opportunity,
246,1061,2025-12-21,False,Restructuring,
247,1032,2025-12-04,True,Return to Study,
248,1063,2026-01-07,True,Relocation,5.7
249,82,2026-01-29,True,Better Opportunity,
250,80,2026-01-30,True,Relocation,6.2
251,384,2026-01-20,False,Role Eliminated,
252,735,2026-01-19,True,Return to Study,4.2
253,775,2026-01-24,True,Better Opportunity,4.9
254,952,2026-01-21,True,Return to Study,
255,730,2026-01-25,False,Performance,2.5
256,321,2026-01-02,True,Relocation,
257,241,2026-02-14,True,Return to Study,7.7
258,978,2026-02-09,True,Relocation,3.4
259,461,2026-02-05,False,Performance,
260,1073,2026-02-19,False,Performance,
261,157,2026-02-22,False,Role Eliminated,8.9
262,397,2026-02-15,True,Return to Study,2.2
263,279,2026-02-19,False,Role Eliminated,6.2
264,29,2026-02-17,False,Performance,2.8
265,464,2026-02-11,True,Career Change,3.6
266,965,2026-03-15,False,Performance,3.9
267,686,2026-03-14,True,Relocation,5.4
268,928,2026-03-29,True,Return to Study,7.0
269,2,2026-03-19,True,Career Change,
270,170,2026-03-20,False,Performance,8.2
271,363,2026-03-09,False,Restructuring,7.4
272,433,2026-03-04,True,Better Opportunity,5.9
273,820,2026-03-05,True,Relocation,
274,155,2026-03-25,True,Better Opportunity,6.4
275,551,2026-03-02,True,Better Opportunity,3.9
276,795,2026-04-04,True,Better Opportunity,
277,684,2026-04-20,False,Role Eliminated,
278,895,2026-04-30,False,Performance,
279,1180,2026-04-17,False,Performance,7.7
280,913,2026-04-26,False,Restructuring,5.0
281,1190,2026-04-20,True,Career Change,5.4
282,66,2026-04-01,False,Restructuring,
283,637,2026-04-27,True,Return to Study,6.0
284,565,2026-04-10,False,Restructuring,
285,374,2026-04-25,False,Role Eliminated,5.7
286,1029,2026-05-13,True,Relocation,5.4
287,97,2026-05-02,True,Better Opportunity,
288,660,2026-05-25,False,Restructuring,
289,377,2026-05-31,True,Return to Study,
290,1035,2026-05-20,True,Relocation,
291,570,2026-05-02,False,Performance,
292,1169,2026-05-07,True,Relocation,
293,1127,2026-05-31,False,Performance,9.5
294,223,2026-05-28,True,Career Change,7.9
295,192,2026-05-23,False,Role Eliminated,4.2
296,944,2026-06-23,True,Return to Study,8.1
297,753,2026-06-05,True,Better Opportunity,
298,968,2026-06-15,True,Return to Study,4.6
299,1019,2026-06-01,True,Return to Study,
300,308,2026-06-01,True,Return to Study,2.9
301,901,2026-06-28,True,Return to Study,5.9
302,865,2026-06-05,True,Career Change,5.9
303,1072,2026-06-22,False,Performance,7.6
304,822,2026-06-05,False,Role Eliminated,
305,771,2026-06-06,True,Return to Study,
306,1178,2026-06-01,True,Relocation,2.3
307,1150,2026-06-05,True,Better Opportunity,7.3
308,880,2026-06-09,False,Performance,
309,1071,2026-07-20,True,Better Opportunity,7.7
310,996,2026-07-02,True,Career Change,6.3
311,983,2026-07-15,True,Better Opportunity,4.0
312,858,2026-07-03,True,Career Change,
313,1013,2026-07-20,True,Career Change,
314,209,2026-07-28,True,Return to Study,4.9
315,499,2026-07-05,True,Return to Study,4.2
316,149,2026-07-06,False,Role Eliminated,
317,1188,2026-07-27,False,Role Eliminated,7.8
318,361,2026-07-21,True,Better Opportunity,3.8
319,707,2026-07-22,True,Better Opportunity,9.4
320,71,2026-07-01,True,Relocation,2.3
321,1090,2026-07-04,False,Performance,4.7
322,418,2026-08-27,True,Career Change,4.4
323,619,2026-08-08,True,Relocation,9.3
324,837,2026-08-22,False,Performance,
325,240,2026-08-26,True,Relocation,
326,355,2026-08-28,True,Career Change,
327,310,2026-08-04,True,Return to Study,9.3
328,869,2026-08-18,False,Performance,6.0
329,855,2026-08-31,True,Relocation,2.3
330,1097,2026-08-03,True,Relocation,5.4
331,1034,2026-08-19,False,Role Eliminated,5.7
332,739,2026-08-23,False,Role Eliminated,3.3
333,222,2026-08-19,False,Role Eliminated,3.2
334,46,2026-08-03,True,Return to Study,4.1
