hire_id,requisition_id,employee_id,offer_date,start_date,source_channel,signing_bonus
119,119,239,2022-10-05,2022-10-10,Job Board,1500
120,120,240,2022-10-12,2022-10-19,LinkedIn,0
121,121,241,2022-10-14,2022-10-22,Career Site,0
122,122,242,2022-10-08,2022-10-17,Employee Referral,0
123,123,243,2022-10-21,2022-10-29,Agency,1500
124,124,244,2022-10-24,2022-10-29,LinkedIn,0
125,125,245,2022-10-18,2022-10-23,Employee Referral,5000
126,126,246,2022-09-26,2022-10-01,Agency,0
127,127,247,2022-10-23,2022-10-30,Job Board,0
128,128,248,2022-10-15,2022-10-20,Job Board,2500
129,129,249,2022-10-06,2022-10-09,LinkedIn,0
130,130,250,2022-10-26,2022-10-30,Employee Referral,0
131,131,251,2022-09-26,2022-10-05,Agency,0
132,132,252,2022-11-01,2022-11-09,Employee Referral,0
133,133,253,2022-11-10,2022-11-20,Job Board,0
134,134,254,2022-11-03,2022-11-08,LinkedIn,0
135,135,255,2022-11-16,2022-11-23,LinkedIn,2500
136,136,256,2022-11-21,2022-11-24,LinkedIn,0
137,137,257,2022-11-15,2022-11-23,LinkedIn,0
138,138,258,2022-12-12,2022-12-17,Employee Referral,0
139,139,259,2022-12-03,2022-12-12,Job Board,0
140,140,260,2022-12-25,2022-12-31,Employee Referral,1500
141,141,261,2022-11-29,2022-12-05,LinkedIn,0
142,142,262,2022-12-15,2022-12-23,Career Site,0
143,143,263,2022-12-22,2022-12-31,Agency,1500
144,144,264,2022-12-17,2022-12-24,Job Board,2500
145,145,265,2022-12-29,2023-01-05,Job Board,1500
146,146,266,2023-01-21,2023-01-27,Employee Referral,5000
147,147,267,2023-01-12,2023-01-15,Employee Referral,1500
148,148,268,2023-01-15,2023-01-20,Employee Referral,2500
149,149,269,2023-01-18,2023-01-27,Employee Referral,0
150,150,270,2023-01-18,2023-01-22,LinkedIn,0
151,151,271,2023-01-16,2023-01-25,LinkedIn,0
152,152,272,2023-01-10,2023-01-16,Job Board,0
153,153,273,2023-01-13,2023-01-17,Employee Referral,5000
154,154,274,2023-01-04,2023-01-10,Job Board,1500
155,155,275,2023-01-17,2023-01-22,Employee Referral,5000
156,156,276,2022-12-30,2023-01-02,LinkedIn,2500
157,157,277,2023-01-18,2023-01-26,Employee Referral,0
158,158,278,2023-01-01,2023-01-11,LinkedIn,0
159,159,279,2022-12-29,2023-01-05,Job Board,0
160,160,280,2022-12-27,2023-01-02,Job Board,0
161,161,281,2023-01-20,2023-01-26,Employee Referral,2500
162,162,282,2023-01-10,2023-01-15,LinkedIn,2500
163,163,283,2023-01-04,2023-01-14,Employee Referral,5000
164,164,284,2023-01-09,2023-01-15,Employee Referral,5000
165,165,285,2022-12-22,2023-01-01,Career Site,0
166,166,286,2023-01-05,2023-01-13,LinkedIn,2500
167,167,287,2023-01-06,2023-01-14,Employee Referral,0
168,168,288,2023-01-06,2023-01-12,Job Board,0
169,169,289,2023-01-02,2023-01-08,LinkedIn,0
170,170,290,2023-01-05,2023-01-09,Employee Referral,1500
171,171,291,2023-01-12,2023-01-22,LinkedIn,0
172,172,292,2023-01-23,2023-01-29,LinkedIn,2500
173,173,293,2023-02-04,2023-02-11,LinkedIn,0
174,174,294,2023-02-03,2023-02-10,Career Site,0
175,175,295,2023-02-20,2023-02-27,LinkedIn,0
176,176,296,2023-02-14,2023-02-18,Employee Referral,0
177,177,297,2023-02-09,2023-02-16,LinkedIn,1500
178,178,298,2023-02-21,2023-02-25,LinkedIn,5000
179,179,299,2023-01-25,2023-02-02,Employee Referral,0
180,180,300,2023-01-28,2023-02-07,Employee Referral,5000
181,181,301,2023-01-26,2023-02-03,Career Site,1500
182,182,302,2023-02-24,2023-02-28,Agency,0
183,183,303,2023-02-06,2023-02-15,Job Board,0
184,184,304,2023-02-16,2023-02-20,Job Board,0
185,185,305,2023-01-30,2023-02-09,LinkedIn,0
186,186,306,2023-02-03,2023-02-10,LinkedIn,5000
187,187,307,2023-02-12,2023-02-16,Employee Referral,2500
188,188,308,2023-02-16,2023-02-19,Employee Referral,0
189,189,309,2023-01-25,2023-02-02,Employee Referral,0
190,190,310,2023-02-09,2023-02-17,Job Board,0
191,191,311,2023-02-17,2023-02-22,Employee Referral,0
192,192,312,2023-02-04,2023-02-10,Employee Referral,2500
193,193,313,2023-02-17,2023-02-27,Career Site,0
194,194,314,2023-02-08,2023-02-12,LinkedIn,0
195,195,315,2023-02-19,2023-02-23,Job Board,0
196,196,316,2023-02-09,2023-02-16,LinkedIn,0
197,197,317,2023-02-14,2023-02-22,LinkedIn,0
198,198,318,2023-02-24,2023-02-28,Job Board,0
199,199,319,2023-02-21,2023-02-25,LinkedIn,0
200,200,320,2023-02-22,2023-03-04,LinkedIn,0
201,201,321,2023-03-06,2023-03-15,LinkedIn,0
202,202,322,2023-03-20,2023-03-29,Job Board,1500
203,203,323,2023-03-17,2023-03-22,Career Site,0
204,204,324,2023-02-28,2023-03-07,Job Board,5000
205,205,325,2023-03-02,2023-03-12,LinkedIn,1500
206,206,326,2023-03-22,2023-03-31,Career Site,2500
207,207,327,2023-02-27,2023-03-05,Job Board,0
208,208,328,2023-03-12,2023-03-16,Career Site,1500
209,209,329,2023-03-23,2023-03-28,Agency,1500
210,210,330,2023-02-28,2023-03-10,Job Board,1500
211,211,331,2023-02-27,2023-03-06,Job Board,0
212,212,332,2023-03-15,2023-03-19,LinkedIn,1500
213,213,333,2023-03-08,2023-03-12,LinkedIn,0
214,214,334,2023-02-24,2023-03-06,LinkedIn,2500
215,215,335,2023-03-01,2023-03-11,LinkedIn,2500
216,216,336,2023-03-16,2023-03-22,Agency,0
217,217,337,2023-03-06,2023-03-10,Job Board,2500
218,218,338,2023-02-24,2023-03-03,Employee Referral,1500
219,219,339,2023-03-08,2023-03-11,LinkedIn,5000
220,220,340,2023-03-19,2023-03-28,Employee Referral,2500
221,221,341,2023-04-17,2023-04-25,Career Site,0
222,222,342,2023-03-26,2023-04-05,Employee Referral,1500
223,223,343,2023-04-17,2023-04-26,Employee Referral,2500
224,224,344,2023-03-30,2023-04-06,Job Board,5000
225,225,345,2023-04-02,2023-04-12,LinkedIn,5000
226,226,346,2023-04-02,2023-04-07,Job Board,0
227,227,347,2023-04-21,2023-04-24,LinkedIn,5000
228,228,348,2023-04-12,2023-04-20,LinkedIn,1500
229,229,349,2023-04-05,2023-04-14,LinkedIn,2500
230,230,350,2023-03-23,2023-04-01,LinkedIn,0
231,231,351,2023-03-30,2023-04-07,Agency,0
232,232,352,2023-04-06,2023-04-16,Career Site,0
233,233,353,2023-04-09,2023-04-19,LinkedIn,0
234,234,354,2023-04-12,2023-04-21,Employee Referral,0
235,235,355,2023-04-23,2023-04-26,LinkedIn,1500
236,236,356,2023-04-14,2023-04-19,Career Site,5000
237,237,357,2023-04-03,2023-04-12,LinkedIn,2500
238,238,358,2023-04-20,2023-04-25,Career Site,0
239,239,359,2023-04-19,2023-04-27,Job Board,0
240,240,360,2023-04-14,2023-04-23,Job Board,0
241,241,361,2023-04-09,2023-04-15,LinkedIn,0
242,242,362,2023-04-21,2023-04-25,Employee Referral,0
243,243,363,2023-03-28,2023-04-04,LinkedIn,0
244,244,364,2023-04-05,2023-04-09,Agency,0
245,245,365,2023-04-28,2023-05-08,Employee Referral,0
246,246,366,2023-05-14,2023-05-23,LinkedIn,0
247,247,367,2023-05-19,2023-05-24,Job Board,0
248,248,368,2023-05-14,2023-05-24,Employee Referral,0
249,249,369,2023-05-08,2023-05-17,Career Site,0
250,250,370,2023-05-11,2023-05-21,Employee Referral,0
251,251,371,2023-05-05,2023-05-14,Job Board,0
252,252,372,2023-05-27,2023-05-30,Career Site,2500
253,253,373,2023-04-27,2023-05-06,Career Site,1500
254,254,374,2023-05-02,2023-05-12,LinkedIn,0
255,255,375,2023-04-21,2023-05-01,Career Site,0
256,256,376,2023-05-17,2023-05-20,Employee Referral,0
257,257,377,2023-04-27,2023-05-07,LinkedIn,1500
258,258,378,2023-05-07,2023-05-12,Agency,0
259,259,379,2023-05-11,2023-05-14,Job Board,0
260,260,380,2023-05-23,2023-05-31,Job Board,1500
261,261,381,2023-05-27,2023-05-30,LinkedIn,5000
262,262,382,2023-05-13,2023-05-22,Employee Referral,0
263,263,383,2023-05-15,2023-05-24,LinkedIn,0
264,264,384,2023-05-19,2023-05-26,Employee Referral,0
265,265,385,2023-05-08,2023-05-14,Job Board,0
266,266,386,2023-05-31,2023-06-07,Employee Referral,0
267,267,387,2023-05-24,2023-06-01,Employee Referral,0
268,268,388,2023-06-01,2023-06-07,Employee Referral,0
269,269,389,2023-06-24,2023-06-30,LinkedIn,1500
270,270,390,2023-06-06,2023-06-09,Employee Referral,0
271,271,391,2023-06-14,2023-06-23,LinkedIn,1500
272,272,392,2023-06-21,2023-06-28,Employee Referral,0
273,273,393,2023-05-31,2023-06-06,LinkedIn,0
274,274,394,2023-06-11,2023-06-18,Career Site,0
275,275,395,2023-06-18,2023-06-26,Job Board,0
276,276,396,2023-06-20,2023-06-23,Job Board,0
277,277,397,2023-06-02,2023-06-09,Employee Referral,5000
278,278,398,2023-06-12,2023-06-18,LinkedIn,5000
279,279,399,2023-06-02,2023-06-12,LinkedIn,5000
280,280,400,2023-06-01,2023-06-10,LinkedIn,0
281,281,401,2023-06-12,2023-06-21,Job Board,1500
282,282,402,2023-06-24,2023-06-27,Employee Referral,0
283,283,403,2023-06-22,2023-06-27,LinkedIn,0
284,284,404,2023-06-14,2023-06-23,Employee Referral,0
285,285,405,2023-06-04,2023-06-08,Employee Referral,1500
286,286,406,2023-05-30,2023-06-04,Agency,0
287,287,407,2023-06-07,2023-06-11,LinkedIn,0
288,288,408,2023-06-17,2023-06-22,Job Board,0
289,289,409,2023-06-28,2023-07-07,Employee Referral,0
290,290,410,2023-06-29,2023-07-05,LinkedIn,0
291,291,411,2023-07-03,2023-07-09,Employee Referral,2500
292,292,412,2023-07-14,2023-07-17,Job Board,0
293,293,413,2023-07-04,2023-07-07,Career Site,0
294,294,414,2023-07-16,2023-07-26,Career Site,0
295,295,415,2023-06-26,2023-07-02,Job Board,0
296,296,416,2023-06-21,2023-07-01,LinkedIn,0
297,297,417,2023-07-05,2023-07-13,Agency,0
298,298,418,2023-07-11,2023-07-14,Job Board,0
299,299,419,2023-07-02,2023-07-08,LinkedIn,0
300,300,420,2023-07-05,2023-07-13,Employee Referral,0
301,301,421,2023-07-06,2023-07-10,Job Board,0
302,302,422,2023-07-08,2023-07-14,LinkedIn,0
303,303,423,2023-07-24,2023-07-27,LinkedIn,0
304,304,424,2023-07-10,2023-07-13,Employee Referral,0
305,305,425,2023-06-28,2023-07-06,Career Site,0
306,306,426,2023-07-16,2023-07-19,Job Board,0
307,307,427,2023-07-24,2023-07-31,Job Board,0
308,308,428,2023-07-09,2023-07-15,LinkedIn,2500
309,309,429,2023-07-12,2023-07-19,LinkedIn,2500
310,310,430,2023-07-17,2023-07-27,Career Site,5000
311,311,431,2023-08-23,2023-08-31,Job Board,0
312,312,432,2023-08-06,2023-08-15,Employee Referral,0
313,313,433,2023-08-06,2023-08-11,Job Board,0
314,314,434,2023-08-22,2023-08-30,Employee Referral,0
315,315,435,2023-08-13,2023-08-19,Career Site,2500
316,316,436,2023-08-09,2023-08-19,Employee Referral,0
317,317,437,2023-08-23,2023-08-27,Job Board,5000
318,318,438,2023-08-18,2023-08-24,Job Board,1500
319,319,439,2023-08-01,2023-08-08,LinkedIn,0
320,320,440,2023-07-25,2023-08-04,Agency,0
321,321,441,2023-08-09,2023-08-14,LinkedIn,0
322,322,442,2023-08-24,2023-08-28,Job Board,0
323,323,443,2023-08-19,2023-08-29,Career Site,5000
324,324,444,2023-08-07,2023-08-10,LinkedIn,2500
325,325,445,2023-08-18,2023-08-22,Career Site,0
326,326,446,2023-08-05,2023-08-11,LinkedIn,1500
327,327,447,2023-08-13,2023-08-19,Employee Referral,0
328,328,448,2023-08-25,2023-08-30,Agency,0
329,329,449,2023-07-24,2023-08-02,Career Site,5000
330,330,450,2023-08-01,2023-08-05,Employee Referral,0
331,331,451,2023-08-16,2023-08-24,LinkedIn,0
332,332,452,2023-08-16,2023-08-24,Job Board,0
333,333,453,2023-09-13,2023-09-23,Job Board,2500
334,334,454,2023-08-27,2023-09-06,Employee Referral,0
335,335,455,2023-08-30,2023-09-04,Employee Referral,1500
336,336,456,2023-09-16,2023-09-22,Job Board,0
337,337,457,2023-09-07,2023-09-17,Employee Referral,1500
338,338,458,2023-09-24,2023-09-30,Employee Referral,2500
339,339,459,2023-09-15,2023-09-18,Career Site,1500
340,340,460,2023-09-17,2023-09-23,LinkedIn,0
341,341,461,2023-09-07,2023-09-13,Employee Referral,0
342,342,462,2023-08-26,2023-09-01,LinkedIn,5000
343,343,463,2023-09-04,2023-09-08,Agency,0
344,344,464,2023-09-15,2023-09-24,LinkedIn,0
345,345,465,2023-09-21,2023-09-28,LinkedIn,5000
346,346,466,2023-09-07,2023-09-13,Career Site,1500
347,347,467,2023-09-07,2023-09-16,Career Site,0
348,348,468,2023-09-10,2023-09-16,Employee Referral,1500
349,349,469,2023-08-27,2023-09-03,Job Board,1500
350,350,470,2023-09-01,2023-09-11,Job Board,2500
351,351,471,2023-09-17,2023-09-21,LinkedIn,1500
352,352,472,2023-09-09,2023-09-13,Agency,0
353,353,473,2023-09-07,2023-09-16,LinkedIn,0
354,354,474,2023-10-16,2023-10-25,LinkedIn,1500
355,355,475,2023-10-01,2023-10-05,LinkedIn,0
356,356,476,2023-09-26,2023-10-05,Job Board,2500
357,357,477,2023-10-22,2023-10-27,Employee Referral,0
358,358,478,2023-10-12,2023-10-22,Job Board,0
359,359,479,2023-10-03,2023-10-10,Employee Referral,0
360,360,480,2023-10-06,2023-10-14,Job Board,0
361,361,481,2023-10-15,2023-10-22,Agency,0
362,362,482,2023-10-01,2023-10-11,LinkedIn,0
363,363,483,2023-10-13,2023-10-22,Agency,0
364,364,484,2023-10-10,2023-10-19,Job Board,1500
365,365,485,2023-09-23,2023-10-02,Job Board,5000
366,366,486,2023-09-27,2023-10-07,Agency,0
367,367,487,2023-10-15,2023-10-22,Career Site,0
368,368,488,2023-10-21,2023-10-25,Agency,0
369,369,489,2023-10-10,2023-10-18,Job Board,2500
370,370,490,2023-10-01,2023-10-06,Agency,0
371,371,491,2023-09-25,2023-10-04,Employee Referral,2500
372,372,492,2023-11-11,2023-11-21,LinkedIn,1500
373,373,493,2023-11-21,2023-11-25,Job Board,1500
374,374,494,2023-10-27,2023-11-03,LinkedIn,2500
375,375,495,2023-11-18,2023-11-28,Job Board,0
376,376,496,2023-11-05,2023-11-15,Employee Referral,0
377,377,497,2023-11-06,2023-11-10,Career Site,0
378,378,498,2023-10-29,2023-11-08,Agency,0
379,379,499,2023-11-16,2023-11-26,Employee Referral,1500
380,380,500,2023-11-14,2023-11-23,Employee Referral,0
381,381,501,2023-11-04,2023-11-09,LinkedIn,0
382,382,502,2023-12-16,2023-12-22,Agency,0
383,383,503,2023-12-11,2023-12-16,LinkedIn,2500
384,384,504,2023-12-18,2023-12-25,Career Site,1500
385,385,505,2023-12-08,2023-12-14,Employee Referral,5000
386,386,506,2023-12-06,2023-12-16,Employee Referral,0
387,387,507,2023-11-22,2023-12-01,Employee Referral,0
388,388,508,2023-12-16,2023-12-26,Agency,2500
389,389,509,2024-01-10,2024-01-14,Job Board,0
390,390,510,2024-01-20,2024-01-23,Employee Referral,5000
391,391,511,2023-12-25,2024-01-02,Career Site,0
392,392,512,2023-12-30,2024-01-09,LinkedIn,2500
393,393,513,2024-01-19,2024-01-29,Job Board,0
394,394,514,2024-01-11,2024-01-21,Career Site,0
395,395,515,2024-01-01,2024-01-04,LinkedIn,0
396,396,516,2024-01-02,2024-01-11,LinkedIn,0
397,397,517,2024-01-17,2024-01-23,Career Site,1500
398,398,518,2024-01-19,2024-01-26,Job Board,0
399,399,519,2024-01-03,2024-01-08,LinkedIn,0
400,400,520,2024-01-14,2024-01-17,LinkedIn,5000
401,401,521,2024-01-15,2024-01-24,LinkedIn,1500
402,402,522,2024-01-20,2024-01-26,Career Site,0
403,403,523,2024-01-03,2024-01-07,Job Board,0
404,404,524,2024-01-02,2024-01-07,Employee Referral,1500
405,405,525,2024-01-09,2024-01-16,LinkedIn,0
406,406,526,2023-12-27,2024-01-02,LinkedIn,1500
407,407,527,2024-01-27,2024-01-30,Job Board,0
408,408,528,2024-01-11,2024-01-15,Employee Referral,0
409,409,529,2023-12-28,2024-01-06,Job Board,2500
410,410,530,2024-01-03,2024-01-13,Job Board,0
411,411,531,2024-01-03,2024-01-10,Employee Referral,0
412,412,532,2024-01-24,2024-01-29,LinkedIn,1500
413,413,533,2024-01-09,2024-01-18,Employee Referral,5000
414,414,534,2024-01-19,2024-01-25,LinkedIn,0
415,415,535,2024-01-12,2024-01-20,Agency,1500
416,416,536,2023-12-27,2024-01-04,Employee Referral,2500
417,417,537,2024-01-08,2024-01-14,Job Board,0
418,418,538,2024-01-22,2024-01-26,Career Site,0
419,419,539,2024-01-31,2024-02-03,Employee Referral,2500
420,420,540,2024-01-28,2024-02-03,Agency,2500
421,421,541,2024-02-11,2024-02-21,LinkedIn,1500
422,422,542,2024-02-05,2024-02-10,Job Board,0
423,423,543,2024-02-22,2024-02-26,Career Site,0
424,424,544,2024-02-12,2024-02-17,LinkedIn,0
425,425,545,2024-02-01,2024-02-06,Agency,5000
426,426,546,2024-02-12,2024-02-20,Career Site,0
427,427,547,2024-02-11,2024-02-18,Employee Referral,0
428,428,548,2024-02-20,2024-02-24,LinkedIn,1500
429,429,549,2024-01-28,2024-02-02,LinkedIn,1500
430,430,550,2024-02-11,2024-02-16,Agency,0
431,431,551,2024-01-30,2024-02-09,Job Board,0
432,432,552,2024-02-20,2024-02-28,Employee Referral,0
433,433,553,2024-02-11,2024-02-15,Employee Referral,1500
434,434,554,2024-01-30,2024-02-02,Agency,0
435,435,555,2024-02-08,2024-02-13,LinkedIn,0
436,436,556,2024-02-17,2024-02-22,LinkedIn,5000
437,437,557,2024-02-18,2024-02-21,Career Site,2500
438,438,558,2024-02-20,2024-02-25,Agency,0
439,439,559,2024-01-26,2024-02-02,Employee Referral,2500
440,440,560,2024-02-14,2024-02-21,Job Board,0
441,441,561,2024-02-09,2024-02-18,LinkedIn,1500
442,442,562,2024-02-03,2024-02-07,Career Site,5000
443,443,563,2024-02-10,2024-02-15,Agency,0
444,444,564,2024-02-02,2024-02-07,Employee Referral,5000
445,445,565,2024-01-31,2024-02-08,Employee Referral,5000
446,446,566,2024-01-25,2024-02-02,LinkedIn,0
447,447,567,2024-03-19,2024-03-25,LinkedIn,5000
448,448,568,2024-03-09,2024-03-17,Employee Referral,0
449,449,569,2024-03-09,2024-03-16,Job Board,0
450,450,570,2024-02-26,2024-03-07,Career Site,0
451,451,571,2024-03-10,2024-03-17,LinkedIn,0
452,452,572,2024-03-05,2024-03-15,Agency,5000
453,453,573,2024-03-12,2024-03-17,LinkedIn,5000
454,454,574,2024-03-22,2024-03-26,Employee Referral,5000
455,455,575,2024-03-08,2024-03-16,Agency,1500
456,456,576,2024-02-24,2024-03-05,Employee Referral,2500
457,457,577,2024-03-03,2024-03-10,Agency,2500
458,458,578,2024-03-20,2024-03-24,LinkedIn,0
459,459,579,2024-03-07,2024-03-14,LinkedIn,0
460,460,580,2024-03-11,2024-03-19,Job Board,0
461,461,581,2024-03-04,2024-03-11,Job Board,0
462,462,582,2024-03-11,2024-03-17,Career Site,1500
463,463,583,2024-03-16,2024-03-21,Career Site,0
464,464,584,2024-03-25,2024-03-31,Job Board,0
465,465,585,2024-03-16,2024-03-20,LinkedIn,2500
466,466,586,2024-02-29,2024-03-09,Job Board,2500
467,467,587,2024-03-15,2024-03-22,Employee Referral,1500
468,468,588,2024-02-25,2024-03-05,Job Board,5000
469,469,589,2024-03-19,2024-03-24,Job Board,0
470,470,590,2024-03-02,2024-03-07,LinkedIn,0
471,471,591,2024-03-24,2024-04-01,LinkedIn,0
472,472,592,2024-03-31,2024-04-07,LinkedIn,0
473,473,593,2024-04-18,2024-04-21,LinkedIn,2500
474,474,594,2024-04-20,2024-04-29,Employee Referral,2500
475,475,595,2024-03-29,2024-04-01,Job Board,0
476,476,596,2024-04-06,2024-04-11,Employee Referral,0
477,477,597,2024-04-19,2024-04-24,Employee Referral,0
478,478,598,2024-03-31,2024-04-05,Agency,0
479,479,599,2024-03-30,2024-04-04,Employee Referral,0
480,480,600,2024-04-10,2024-04-20,Employee Referral,5000
481,481,601,2024-04-08,2024-04-12,LinkedIn,5000
482,482,602,2024-04-08,2024-04-11,Employee Referral,5000
483,483,603,2024-04-16,2024-04-25,LinkedIn,2500
484,484,604,2024-04-13,2024-04-17,Agency,2500
485,485,605,2024-04-18,2024-04-24,Employee Referral,0
486,486,606,2024-04-01,2024-04-05,LinkedIn,0
487,487,607,2024-04-09,2024-04-12,LinkedIn,5000
488,488,608,2024-03-28,2024-04-02,Employee Referral,5000
489,489,609,2024-04-05,2024-04-08,LinkedIn,1500
