requisition_id,department_id,job_title,opened_date,closed_date,status,source_channel
51,11,Mid Brand Marketing Specialist,2022-05-05,2022-06-18,Filled,LinkedIn
52,13,Mid Onboarding Specialist,2022-05-26,2022-06-16,Filled,Employee Referral
53,9,Mid Sales Development Specialist,2022-05-21,2022-06-13,Filled,Employee Referral
54,7,Senior Enterprise Sales Specialist,2022-05-14,2022-06-22,Filled,LinkedIn
55,18,Junior Talent Acquisition Specialist,2022-05-22,2022-06-24,Filled,Employee Referral
56,8,Mid SMB Sales Specialist,2022-04-18,2022-06-21,Filled,Employee Referral
57,11,Junior Brand Marketing Specialist,2022-06-21,2022-07-22,Filled,Job Board
58,10,"Lead, Growth Marketing",2022-06-03,2022-07-15,Filled,Employee Referral
59,14,Mid Facilities Specialist,2022-05-07,2022-07-08,Filled,LinkedIn
60,9,Junior Sales Development Specialist,2022-06-22,2022-07-17,Filled,LinkedIn
61,17,"Director, FP&A",2022-05-18,2022-07-01,Filled,Employee Referral
62,18,Junior Talent Acquisition Specialist,2022-06-12,2022-07-25,Filled,Employee Referral
63,12,Senior Support Specialist,2022-06-02,2022-07-03,Filled,Career Site
64,7,Senior Enterprise Sales Specialist,2022-06-26,2022-07-19,Filled,Career Site
65,10,Mid Growth Marketing Specialist,2022-06-04,2022-07-02,Filled,Employee Referral
66,9,Senior Sales Development Specialist,2022-07-02,2022-07-27,Filled,Job Board
67,15,Senior IT Specialist,2022-05-23,2022-07-09,Filled,Employee Referral
68,16,Mid Accounting Specialist,2022-06-11,2022-07-06,Filled,LinkedIn
69,16,Mid Accounting Specialist,2022-06-11,2022-07-01,Filled,Employee Referral
70,7,"Manager, Enterprise Sales",2022-05-14,2022-07-14,Filled,Career Site
71,15,"Manager, IT",2022-05-10,2022-07-02,Filled,Employee Referral
72,7,Mid Enterprise Sales Specialist,2022-06-26,2022-07-26,Filled,Job Board
73,1,Junior Backend Specialist,2022-06-26,2022-07-14,Filled,Job Board
74,9,"Manager, Sales Development",2022-06-26,2022-08-23,Filled,Agency
75,9,Senior Sales Development Specialist,2022-07-02,2022-08-14,Filled,Job Board
76,8,Junior SMB Sales Specialist,2022-07-15,2022-08-08,Filled,LinkedIn
77,8,Mid SMB Sales Specialist,2022-07-26,2022-08-18,Filled,LinkedIn
78,12,Junior Support Specialist,2022-06-20,2022-08-02,Filled,Employee Referral
79,15,Junior IT Specialist,2022-07-13,2022-08-06,Filled,Agency
80,1,"Lead, Backend",2022-06-30,2022-08-27,Filled,Career Site
81,9,"Lead, Sales Development",2022-08-04,2022-08-30,Filled,LinkedIn
82,2,Junior Frontend Specialist,2022-06-15,2022-08-15,Filled,Employee Referral
83,17,Mid FP&A Specialist,2022-06-21,2022-08-09,Filled,Employee Referral
84,3,Junior Platform Specialist,2022-06-22,2022-08-13,Filled,Job Board
85,7,"Lead, Enterprise Sales",2022-07-30,2022-08-18,Filled,LinkedIn
86,17,Mid FP&A Specialist,2022-08-01,2022-08-25,Filled,LinkedIn
87,9,"Manager, Sales Development",2022-07-15,2022-08-26,Filled,Employee Referral
88,6,"Lead, Product Design",2022-06-18,2022-08-11,Filled,LinkedIn
89,9,Mid Sales Development Specialist,2022-06-19,2022-08-06,Filled,LinkedIn
90,7,"Manager, Enterprise Sales",2022-07-10,2022-08-06,Filled,Job Board
91,8,Senior SMB Sales Specialist,2022-06-28,2022-08-31,Filled,Career Site
92,7,"Director, Enterprise Sales",2022-07-12,2022-08-23,Filled,LinkedIn
93,5,"Manager, Product Management",2022-06-06,2022-08-01,Filled,LinkedIn
94,9,Mid Sales Development Specialist,2022-08-02,2022-08-30,Filled,Job Board
95,11,"Manager, Brand Marketing",2022-07-15,2022-08-24,Filled,LinkedIn
96,14,Senior Facilities Specialist,2022-08-12,2022-09-19,Filled,LinkedIn
97,7,Mid Enterprise Sales Specialist,2022-08-03,2022-09-29,Filled,Agency
98,18,Senior Talent Acquisition Specialist,2022-08-07,2022-09-06,Filled,Employee Referral
99,7,Junior Enterprise Sales Specialist,2022-07-29,2022-09-08,Filled,LinkedIn
100,15,Senior IT Specialist,2022-08-29,2022-09-21,Filled,Employee Referral
101,14,Mid Facilities Specialist,2022-08-05,2022-09-16,Filled,Employee Referral
102,7,Mid Enterprise Sales Specialist,2022-08-23,2022-09-15,Filled,Job Board
103,6,"Lead, Product Design",2022-07-31,2022-09-02,Filled,Employee Referral
104,17,Junior FP&A Specialist,2022-08-26,2022-09-23,Filled,Career Site
105,2,"Director, Frontend",2022-07-09,2022-09-03,Filled,LinkedIn
106,8,Senior SMB Sales Specialist,2022-07-18,2022-09-13,Filled,Employee Referral
107,8,Senior SMB Sales Specialist,2022-07-15,2022-09-05,Filled,Agency
108,8,Senior SMB Sales Specialist,2022-07-22,2022-09-16,Filled,Job Board
109,8,Mid SMB Sales Specialist,2022-09-10,2022-09-29,Filled,LinkedIn
110,7,"Lead, Enterprise Sales",2022-08-01,2022-09-16,Filled,Job Board
111,13,Senior Onboarding Specialist,2022-07-31,2022-09-20,Filled,Agency
112,14,Mid Facilities Specialist,2022-08-04,2022-09-03,Filled,Agency
113,8,Mid SMB Sales Specialist,2022-08-03,2022-09-30,Filled,Career Site
114,4,Mid QA Specialist,2022-09-05,2022-10-21,Filled,LinkedIn
115,9,Senior Sales Development Specialist,2022-09-17,2022-10-19,Filled,Job Board
116,16,Senior Accounting Specialist,2022-08-17,2022-10-05,Filled,Employee Referral
117,10,Mid Growth Marketing Specialist,2022-10-08,2022-10-27,Filled,Agency
118,9,Senior Sales Development Specialist,2022-09-28,2022-10-25,Filled,Employee Referral
119,13,Junior Onboarding Specialist,2022-08-14,2022-10-10,Filled,Job Board
120,4,"Manager, QA",2022-08-31,2022-10-19,Filled,LinkedIn
121,6,Junior Product Design Specialist,2022-10-02,2022-10-22,Filled,Career Site
122,12,Senior Support Specialist,2022-09-18,2022-10-17,Filled,Employee Referral
123,9,"Lead, Sales Development",2022-09-19,2022-10-29,Filled,Agency
124,14,Senior Facilities Specialist,2022-09-24,2022-10-29,Filled,LinkedIn
125,8,"Lead, SMB Sales",2022-09-05,2022-10-23,Filled,Employee Referral
126,15,Mid IT Specialist,2022-09-11,2022-10-01,Filled,Agency
127,5,Junior Product Management Specialist,2022-08-27,2022-10-30,Filled,Job Board
128,6,"Director, Product Design",2022-09-23,2022-10-20,Filled,Job Board
129,11,Junior Brand Marketing Specialist,2022-08-28,2022-10-09,Filled,LinkedIn
130,9,Mid Sales Development Specialist,2022-09-03,2022-10-30,Filled,Employee Referral
131,9,"Manager, Sales Development",2022-08-25,2022-10-05,Filled,Agency
132,7,"Lead, Enterprise Sales",2022-09-26,2022-11-09,Filled,Employee Referral
133,7,Senior Enterprise Sales Specialist,2022-10-05,2022-11-20,Filled,Job Board
134,18,Junior Talent Acquisition Specialist,2022-10-18,2022-11-08,Filled,LinkedIn
135,1,"Lead, Backend",2022-10-02,2022-11-23,Filled,LinkedIn
136,9,"Director, Sales Development",2022-11-04,2022-11-24,Filled,LinkedIn
137,6,Senior Product Design Specialist,2022-09-24,2022-11-23,Filled,LinkedIn
138,5,"Director, Product Management",2022-11-08,2022-12-17,Filled,Employee Referral
139,7,Mid Enterprise Sales Specialist,2022-11-21,2022-12-12,Filled,Job Board
140,18,Mid Talent Acquisition Specialist,2022-10-28,2022-12-31,Filled,Employee Referral
141,7,Mid Enterprise Sales Specialist,2022-10-07,2022-12-05,Filled,LinkedIn
142,7,"Manager, Enterprise Sales",2022-10-30,2022-12-23,Filled,Career Site
143,9,Senior Sales Development Specialist,2022-11-23,2022-12-31,Filled,Agency
144,7,"Manager, Enterprise Sales",2022-12-05,2022-12-24,Filled,Job Board
145,13,Junior Onboarding Specialist,2022-12-14,2023-01-05,Filled,Job Board
146,9,"Lead, Sales Development",2023-01-07,2023-01-27,Filled,Employee Referral
147,11,"Manager, Brand Marketing",2022-12-19,2023-01-15,Filled,Employee Referral
148,17,Junior FP&A Specialist,2022-12-27,2023-01-20,Filled,Employee Referral
149,2,Junior Frontend Specialist,2022-12-28,2023-01-27,Filled,Employee Referral
150,4,Senior QA Specialist,2022-11-28,2023-01-22,Filled,LinkedIn
151,7,Mid Enterprise Sales Specialist,2023-01-05,2023-01-25,Filled,LinkedIn
152,1,Junior Backend Specialist,2022-11-29,2023-01-16,Filled,Job Board
153,10,Mid Growth Marketing Specialist,2022-11-15,2023-01-17,Filled,Employee Referral
154,15,Mid IT Specialist,2022-12-17,2023-01-10,Filled,Job Board
155,14,Junior Facilities Specialist,2022-12-05,2023-01-22,Filled,Employee Referral
156,18,Senior Talent Acquisition Specialist,2022-11-16,2023-01-02,Filled,LinkedIn
157,5,Junior Product Management Specialist,2022-12-19,2023-01-26,Filled,Employee Referral
158,14,Mid Facilities Specialist,2022-12-10,2023-01-11,Filled,LinkedIn
159,17,Junior FP&A Specialist,2022-12-06,2023-01-05,Filled,Job Board
160,7,Senior Enterprise Sales Specialist,2022-12-05,2023-01-02,Filled,Job Board
161,10,"Lead, Growth Marketing",2022-12-06,2023-01-26,Filled,Employee Referral
162,8,Mid SMB Sales Specialist,2022-11-21,2023-01-15,Filled,LinkedIn
163,17,"Director, FP&A",2022-11-30,2023-01-14,Filled,Employee Referral
164,15,Mid IT Specialist,2022-12-20,2023-01-15,Filled,Employee Referral
165,19,Mid HR Business Partners Specialist,2022-12-13,2023-01-01,Filled,Career Site
166,16,Junior Accounting Specialist,2022-11-16,2023-01-13,Filled,LinkedIn
167,1,"Lead, Backend",2022-12-24,2023-01-14,Filled,Employee Referral
168,3,Mid Platform Specialist,2022-11-20,2023-01-12,Filled,Job Board
169,19,Senior HR Business Partners Specialist,2022-11-07,2023-01-08,Filled,LinkedIn
170,7,Mid Enterprise Sales Specialist,2022-11-21,2023-01-09,Filled,Employee Referral
171,12,"Lead, Support",2022-12-31,2023-01-22,Filled,LinkedIn
172,3,Junior Platform Specialist,2022-12-11,2023-01-29,Filled,LinkedIn
173,11,Mid Brand Marketing Specialist,2023-01-05,2023-02-11,Filled,LinkedIn
174,9,"Lead, Sales Development",2022-12-15,2023-02-10,Filled,Career Site
175,19,Senior HR Business Partners Specialist,2023-01-04,2023-02-27,Filled,LinkedIn
176,5,Senior Product Management Specialist,2023-01-21,2023-02-18,Filled,Employee Referral
177,8,"Lead, SMB Sales",2022-12-28,2023-02-16,Filled,LinkedIn
178,17,"Director, FP&A",2023-01-10,2023-02-25,Filled,LinkedIn
179,8,Junior SMB Sales Specialist,2022-12-18,2023-02-02,Filled,Employee Referral
180,10,Senior Growth Marketing Specialist,2023-01-15,2023-02-07,Filled,Employee Referral
181,11,"Director, Brand Marketing",2022-12-15,2023-02-03,Filled,Career Site
182,4,Mid QA Specialist,2023-01-13,2023-02-28,Filled,Agency
183,13,"Lead, Onboarding",2023-01-01,2023-02-15,Filled,Job Board
184,15,Junior IT Specialist,2022-12-27,2023-02-20,Filled,Job Board
185,8,Mid SMB Sales Specialist,2022-12-29,2023-02-09,Filled,LinkedIn
186,15,"Lead, IT",2023-01-23,2023-02-10,Filled,LinkedIn
187,15,Junior IT Specialist,2023-01-12,2023-02-16,Filled,Employee Referral
188,13,Mid Onboarding Specialist,2023-01-25,2023-02-19,Filled,Employee Referral
189,5,Junior Product Management Specialist,2022-12-23,2023-02-02,Filled,Employee Referral
190,7,Senior Enterprise Sales Specialist,2022-12-23,2023-02-17,Filled,Job Board
191,15,"Lead, IT",2022-12-29,2023-02-22,Filled,Employee Referral
192,4,Mid QA Specialist,2023-01-14,2023-02-10,Filled,Employee Referral
193,10,"Manager, Growth Marketing",2023-02-01,2023-02-27,Filled,Career Site
194,7,Junior Enterprise Sales Specialist,2023-01-06,2023-02-12,Filled,LinkedIn
195,4,Junior QA Specialist,2023-01-09,2023-02-23,Filled,Job Board
196,1,"Lead, Backend",2022-12-30,2023-02-16,Filled,LinkedIn
197,2,Junior Frontend Specialist,2023-01-23,2023-02-22,Filled,LinkedIn
198,3,"Lead, Platform",2022-12-26,2023-02-28,Filled,Job Board
199,15,Junior IT Specialist,2023-01-04,2023-02-25,Filled,LinkedIn
200,4,Mid QA Specialist,2023-02-12,2023-03-04,Filled,LinkedIn
201,8,Senior SMB Sales Specialist,2023-01-30,2023-03-15,Filled,LinkedIn
202,16,"Lead, Accounting",2023-02-08,2023-03-29,Filled,Job Board
203,9,Junior Sales Development Specialist,2023-01-16,2023-03-22,Filled,Career Site
204,8,Mid SMB Sales Specialist,2023-01-31,2023-03-07,Filled,Job Board
205,18,Mid Talent Acquisition Specialist,2023-02-16,2023-03-12,Filled,LinkedIn
206,6,Junior Product Design Specialist,2023-03-12,2023-03-31,Filled,Career Site
207,11,Mid Brand Marketing Specialist,2023-01-15,2023-03-05,Filled,Job Board
208,11,Mid Brand Marketing Specialist,2023-02-24,2023-03-16,Filled,Career Site
209,8,Mid SMB Sales Specialist,2023-02-19,2023-03-28,Filled,Agency
210,8,Senior SMB Sales Specialist,2023-01-16,2023-03-10,Filled,Job Board
211,9,Mid Sales Development Specialist,2023-01-25,2023-03-06,Filled,Job Board
212,2,Junior Frontend Specialist,2023-01-20,2023-03-19,Filled,LinkedIn
213,7,Mid Enterprise Sales Specialist,2023-01-16,2023-03-12,Filled,LinkedIn
214,3,Junior Platform Specialist,2023-01-21,2023-03-06,Filled,LinkedIn
215,1,Mid Backend Specialist,2023-01-09,2023-03-11,Filled,LinkedIn
216,15,Mid IT Specialist,2023-02-28,2023-03-22,Filled,Agency
217,7,"Director, Enterprise Sales",2023-02-15,2023-03-10,Filled,Job Board
218,7,Senior Enterprise Sales Specialist,2023-01-25,2023-03-03,Filled,Employee Referral
219,11,Junior Brand Marketing Specialist,2023-01-17,2023-03-11,Filled,LinkedIn
220,12,Junior Support Specialist,2023-01-29,2023-03-28,Filled,Employee Referral
221,7,Senior Enterprise Sales Specialist,2023-03-09,2023-04-25,Filled,Career Site
222,17,Senior FP&A Specialist,2023-02-20,2023-04-05,Filled,Employee Referral
223,9,"Manager, Sales Development",2023-04-01,2023-04-26,Filled,Employee Referral
224,7,"Lead, Enterprise Sales",2023-03-05,2023-04-06,Filled,Job Board
225,18,Junior Talent Acquisition Specialist,2023-03-02,2023-04-12,Filled,LinkedIn
226,12,Junior Support Specialist,2023-03-08,2023-04-07,Filled,Job Board
227,9,Junior Sales Development Specialist,2023-03-20,2023-04-24,Filled,LinkedIn
228,11,Mid Brand Marketing Specialist,2023-02-20,2023-04-20,Filled,LinkedIn
229,16,Mid Accounting Specialist,2023-03-13,2023-04-14,Filled,LinkedIn
230,8,Mid SMB Sales Specialist,2023-01-26,2023-04-01,Filled,LinkedIn
231,17,Junior FP&A Specialist,2023-02-21,2023-04-07,Filled,Agency
232,7,Mid Enterprise Sales Specialist,2023-03-14,2023-04-16,Filled,Career Site
233,10,Junior Growth Marketing Specialist,2023-03-24,2023-04-19,Filled,LinkedIn
234,7,Mid Enterprise Sales Specialist,2023-03-10,2023-04-21,Filled,Employee Referral
235,16,Senior Accounting Specialist,2023-02-28,2023-04-26,Filled,LinkedIn
236,9,Junior Sales Development Specialist,2023-03-20,2023-04-19,Filled,Career Site
237,9,Mid Sales Development Specialist,2023-03-17,2023-04-12,Filled,LinkedIn
238,18,Mid Talent Acquisition Specialist,2023-03-15,2023-04-25,Filled,Career Site
239,6,"Lead, Product Design",2023-03-28,2023-04-27,Filled,Job Board
240,11,Senior Brand Marketing Specialist,2023-03-15,2023-04-23,Filled,Job Board
241,5,"Manager, Product Management",2023-02-12,2023-04-15,Filled,LinkedIn
242,9,"Manager, Sales Development",2023-04-07,2023-04-25,Filled,Employee Referral
243,1,Junior Backend Specialist,2023-03-16,2023-04-04,Filled,LinkedIn
244,6,Senior Product Design Specialist,2023-03-11,2023-04-09,Filled,Agency
245,19,Mid HR Business Partners Specialist,2023-04-01,2023-05-08,Filled,Employee Referral
246,9,Senior Sales Development Specialist,2023-04-25,2023-05-23,Filled,LinkedIn
247,7,Senior Enterprise Sales Specialist,2023-04-04,2023-05-24,Filled,Job Board
248,8,Mid SMB Sales Specialist,2023-03-22,2023-05-24,Filled,Employee Referral
249,14,Mid Facilities Specialist,2023-04-24,2023-05-17,Filled,Career Site
250,16,Junior Accounting Specialist,2023-04-15,2023-05-21,Filled,Employee Referral
251,19,Senior HR Business Partners Specialist,2023-03-23,2023-05-14,Filled,Job Board
252,10,"Lead, Growth Marketing",2023-04-27,2023-05-30,Filled,Career Site
253,8,Senior SMB Sales Specialist,2023-03-27,2023-05-06,Filled,Career Site
254,8,"Director, SMB Sales",2023-04-17,2023-05-12,Filled,LinkedIn
255,7,Senior Enterprise Sales Specialist,2023-04-11,2023-05-01,Filled,Career Site
256,7,Mid Enterprise Sales Specialist,2023-04-21,2023-05-20,Filled,Employee Referral
257,8,Junior SMB Sales Specialist,2023-03-08,2023-05-07,Filled,LinkedIn
258,8,Mid SMB Sales Specialist,2023-03-13,2023-05-12,Filled,Agency
259,7,Junior Enterprise Sales Specialist,2023-03-31,2023-05-14,Filled,Job Board
260,11,Mid Brand Marketing Specialist,2023-03-31,2023-05-31,Filled,Job Board
261,9,"Lead, Sales Development",2023-05-04,2023-05-30,Filled,LinkedIn
262,6,"Lead, Product Design",2023-04-16,2023-05-22,Filled,Employee Referral
263,10,Mid Growth Marketing Specialist,2023-03-23,2023-05-24,Filled,LinkedIn
264,8,"Lead, SMB Sales",2023-04-30,2023-05-26,Filled,Employee Referral
265,18,Junior Talent Acquisition Specialist,2023-04-07,2023-05-14,Filled,Job Board
266,13,Mid Onboarding Specialist,2023-04-19,2023-06-07,Filled,Employee Referral
267,3,Senior Platform Specialist,2023-04-07,2023-06-01,Filled,Employee Referral
268,11,Senior Brand Marketing Specialist,2023-05-18,2023-06-07,Filled,Employee Referral
269,12,Junior Support Specialist,2023-06-03,2023-06-30,Filled,LinkedIn
270,9,"Manager, Sales Development",2023-05-18,2023-06-09,Filled,Employee Referral
271,9,"Director, Sales Development",2023-04-22,2023-06-23,Filled,LinkedIn
272,12,Mid Support Specialist,2023-05-17,2023-06-28,Filled,Employee Referral
273,5,Senior Product Management Specialist,2023-04-16,2023-06-06,Filled,LinkedIn
274,12,Junior Support Specialist,2023-05-22,2023-06-18,Filled,Career Site
275,7,Junior Enterprise Sales Specialist,2023-05-17,2023-06-26,Filled,Job Board
276,3,"Manager, Platform",2023-06-02,2023-06-23,Filled,Job Board
277,6,Junior Product Design Specialist,2023-04-08,2023-06-09,Filled,Employee Referral
278,10,Junior Growth Marketing Specialist,2023-05-06,2023-06-18,Filled,LinkedIn
279,13,Junior Onboarding Specialist,2023-05-14,2023-06-12,Filled,LinkedIn
280,5,Junior Product Management Specialist,2023-05-19,2023-06-10,Filled,LinkedIn
281,8,"Director, SMB Sales",2023-06-03,2023-06-21,Filled,Job Board
282,1,Junior Backend Specialist,2023-04-30,2023-06-27,Filled,Employee Referral
283,9,Mid Sales Development Specialist,2023-05-21,2023-06-27,Filled,LinkedIn
284,2,Mid Frontend Specialist,2023-05-30,2023-06-23,Filled,Employee Referral
285,1,Junior Backend Specialist,2023-04-08,2023-06-08,Filled,Employee Referral
286,5,Mid Product Management Specialist,2023-05-12,2023-06-04,Filled,Agency
287,8,Senior SMB Sales Specialist,2023-05-06,2023-06-11,Filled,LinkedIn
288,17,Mid FP&A Specialist,2023-05-26,2023-06-22,Filled,Job Board
289,9,"Lead, Sales Development",2023-06-15,2023-07-07,Filled,Employee Referral
290,9,"Lead, Sales Development",2023-05-14,2023-07-05,Filled,LinkedIn
291,18,Mid Talent Acquisition Specialist,2023-06-17,2023-07-09,Filled,Employee Referral
292,18,Mid Talent Acquisition Specialist,2023-06-13,2023-07-17,Filled,Job Board
293,8,Mid SMB Sales Specialist,2023-05-08,2023-07-07,Filled,Career Site
294,9,"Manager, Sales Development",2023-05-30,2023-07-26,Filled,Career Site
295,7,Junior Enterprise Sales Specialist,2023-05-26,2023-07-02,Filled,Job Board
296,18,"Lead, Talent Acquisition",2023-04-27,2023-07-01,Filled,LinkedIn
297,8,Senior SMB Sales Specialist,2023-06-18,2023-07-13,Filled,Agency
298,5,"Manager, Product Management",2023-05-10,2023-07-14,Filled,Job Board
299,16,"Lead, Accounting",2023-05-31,2023-07-08,Filled,LinkedIn
300,4,Mid QA Specialist,2023-06-12,2023-07-13,Filled,Employee Referral
301,8,"Manager, SMB Sales",2023-06-02,2023-07-10,Filled,Job Board
302,7,Senior Enterprise Sales Specialist,2023-05-24,2023-07-14,Filled,LinkedIn
303,8,"Lead, SMB Sales",2023-07-02,2023-07-27,Filled,LinkedIn
304,7,Mid Enterprise Sales Specialist,2023-06-01,2023-07-13,Filled,Employee Referral
305,6,Senior Product Design Specialist,2023-06-17,2023-07-06,Filled,Career Site
306,15,Junior IT Specialist,2023-06-04,2023-07-19,Filled,Job Board
307,9,Senior Sales Development Specialist,2023-06-07,2023-07-31,Filled,Job Board
308,19,"Lead, HR Business Partners",2023-06-10,2023-07-15,Filled,LinkedIn
309,7,Mid Enterprise Sales Specialist,2023-05-24,2023-07-19,Filled,LinkedIn
310,11,Mid Brand Marketing Specialist,2023-07-07,2023-07-27,Filled,Career Site
311,6,Senior Product Design Specialist,2023-08-11,2023-08-31,Filled,Job Board
312,2,Junior Frontend Specialist,2023-06-15,2023-08-15,Filled,Employee Referral
313,4,Senior QA Specialist,2023-07-06,2023-08-11,Filled,Job Board
314,2,Junior Frontend Specialist,2023-06-26,2023-08-30,Filled,Employee Referral
315,8,Junior SMB Sales Specialist,2023-07-28,2023-08-19,Filled,Career Site
316,9,Senior Sales Development Specialist,2023-06-24,2023-08-19,Filled,Employee Referral
317,7,Senior Enterprise Sales Specialist,2023-07-20,2023-08-27,Filled,Job Board
318,7,"Manager, Enterprise Sales",2023-07-14,2023-08-24,Filled,Job Board
319,14,Senior Facilities Specialist,2023-06-09,2023-08-08,Filled,LinkedIn
320,7,Junior Enterprise Sales Specialist,2023-07-05,2023-08-04,Filled,Agency
321,5,Mid Product Management Specialist,2023-06-30,2023-08-14,Filled,LinkedIn
322,4,Senior QA Specialist,2023-07-26,2023-08-28,Filled,Job Board
323,17,Mid FP&A Specialist,2023-07-14,2023-08-29,Filled,Career Site
324,15,"Lead, IT",2023-06-21,2023-08-10,Filled,LinkedIn
325,9,Senior Sales Development Specialist,2023-07-18,2023-08-22,Filled,Career Site
326,7,Junior Enterprise Sales Specialist,2023-07-15,2023-08-11,Filled,LinkedIn
327,9,"Manager, Sales Development",2023-07-15,2023-08-19,Filled,Employee Referral
328,7,Mid Enterprise Sales Specialist,2023-07-08,2023-08-30,Filled,Agency
329,9,"Manager, Sales Development",2023-06-27,2023-08-02,Filled,Career Site
330,8,"Lead, SMB Sales",2023-06-21,2023-08-05,Filled,Employee Referral
331,19,Senior HR Business Partners Specialist,2023-07-17,2023-08-24,Filled,LinkedIn
332,8,Mid SMB Sales Specialist,2023-06-22,2023-08-24,Filled,Job Board
333,10,Junior Growth Marketing Specialist,2023-08-21,2023-09-23,Filled,Job Board
334,11,"Manager, Brand Marketing",2023-07-25,2023-09-06,Filled,Employee Referral
335,3,"Director, Platform",2023-07-06,2023-09-04,Filled,Employee Referral
336,18,Junior Talent Acquisition Specialist,2023-08-04,2023-09-22,Filled,Job Board
337,7,Junior Enterprise Sales Specialist,2023-08-10,2023-09-17,Filled,Employee Referral
338,8,Junior SMB Sales Specialist,2023-08-24,2023-09-30,Filled,Employee Referral
339,16,Junior Accounting Specialist,2023-08-30,2023-09-18,Filled,Career Site
340,3,Mid Platform Specialist,2023-08-03,2023-09-23,Filled,LinkedIn
341,15,"Lead, IT",2023-08-13,2023-09-13,Filled,Employee Referral
342,1,"Lead, Backend",2023-07-27,2023-09-01,Filled,LinkedIn
